Ivan Aivazovsky,Romanticism,Storm at sea,99442.jpg
Julius LeBlanc Stewart,Realism,Yachting in the Mediterranean,28908.jpg
Gustave Dore,Romanticism,Death of Eleazer,7486.jpg
Gustave Dore,Romanticism,The-Deluge,35766.jpg
Clara Peeters,Baroque,Still Life with Flowers and Gold Cups of Honor,28363.jpg
Diego Velazquez,Baroque,Self-portrait,70728.jpg
Gerrit Dou,Baroque,Self Portrait ,59486.jpg
Thomas Gainsborough,Rococo,The Mall in St. James's Park,1164.jpg
Odilon Redon,Symbolism,Roger and Angelica,29331.jpg
William Turner,Romanticism,The Fighting Temeraire tugged to her last berth to be broken up,56906.jpg
Joseph Wright,Baroque,An Experiment on a Bird in the Air Pump,90044.jpg
Johannes Vermeer,Baroque,Young Woman with a Pearl Necklace,7071.jpg
Henri de Toulouse-Lautrec,Post-Impressionism,Abandonment (The pair),17354.jpg
Konstantin Somov,Art Nouveau (Modern),Open Door on a Garden,41541.jpg
William Hogarth,Rococo,Self portrait,45704.jpg
Thomas Eakins,Realism,Nude Woman Standing ,633.jpg
Ivan Aivazovsky,Romanticism,The Ninth Wave,81750.jpg
Carlos Saenz de Tejada,Art Nouveau (Modern),The Life of St. Ignatius Loyola. Plate 2. Ignatius writes the Spiritual Exercises in the cave at Manresa.,71560.jpg
Carlos Saenz de Tejada,Art Nouveau (Modern),"The Life of St. Ignatius Loyola. Plate 9. After their solemn vows at the Basilica of St-Paul-Outside-The-Walls in Rome, the companions set off to help souls with unbounded joy.",42784.jpg
Carlos Saenz de Tejada,Art Nouveau (Modern),The Life of St. Ignatius Loyola. Plate 7. Pope Paul III approves the Society of Jesus 27th September 1540 Regimini Militantes.,5569.jpg
Carlos Saenz de Tejada,Art Nouveau (Modern),"The Life of St. Ignatius Loyola. Plate 8. Before saying Mass, Ignatius is overcome with tears.",59919.jpg
Carlos Saenz de Tejada,Art Nouveau (Modern),The Life of St. Ignatius Loyola. Plate 1. Ignatius recovers from his wounds at Loyola.,10709.jpg
August Macke,Expressionism,Sailing boat on the Tegernsee,31234.jpg
Carlos Saenz de Tejada,Art Nouveau (Modern),The Life of St. Ignatius Loyola. Plate 6.  The vision at La Storta (outside Rome) I will be favourable to you in Rome.,97081.jpg
Carlos Saenz de Tejada,Art Nouveau (Modern),The Life of St. Ignatius Loyola. Plate 10. The Death of St. Ignatius 31st July 1556.,73181.jpg
Ferdinand Hodler,Art Nouveau (Modern),The Reaper,96174.jpg
Franz Stuck,Symbolism,Mary with  Biedermeier hut,95721.jpg
